Species,GFE_ID,River,CU,WATERSHED_CDE,LINEAR_FEATURE_ID
CM,1119,ADAM RIVER,CM-5,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,710543688
CM,852,AHNUHATI RIVER,CM-9,900-603000-00000-00000-0000-0000-000-000-000-000-000-000,88047440
CM,861,AHTA RIVER,CM-8,900-640400-00000-00000-0000-0000-000-000-000-000-000-000,88052112
CM,862,AHTA VALLEY CREEK,CM-8,900-640800-00000-00000-0000-0000-000-000-000-000-000-000,88050198
CM,1410,AMAI CREEK,CM-10,930-653300-00000-00000-0000-0000-000-000-000-000-000-000,710533824
CM,1123,AMOR DE COSMOS CREEK,CM-5,920-700700-00000-00000-0000-0000-000-000-000-000-000-000,710439535
CM,2615,ANDERSON CREEK,CM-4,900-143400-00000-00000-0000-0000-000-000-000-000-000-000,72046999
CM,771,ANGUS CREEK,CM-4,900-166800-00000-00000-0000-0000-000-000-000-000-000-000,72056566
CM,1389,APPLE CREEK,CM-10,935-483000-57600-00000-0000-0000-000-000-000-000-000-000,710313443
CM,828,APPLE RIVER,CM-6,900-469600-00000-00000-0000-0000-000-000-000-000-000-000,88081739
CM,1413,ARTLISH RIVER,CM-10,930-671100-00000-00000-0000-0000-000-000-000-000-000-000,710527729
CM,1336,ATLEO RIVER,CM-10,930-403700-00000-00000-0000-0000-000-000-000-000-000-000,710208360
CM,1393,BARR CREEK,CM-10,930-577600-00000-00000-0000-0000-000-000-000-000-000-000,710303002
CM,1429,BATTLE BAY RIVER,CM-10,930-739000-00000-00000-0000-0000-000-000-000-000-000-000,710147688
CM,1330,BAWDEN CREEK,CM-10,930-378500-00000-00000-0000-0000-000-000-000-000-000-000,710217825
CM,1479,BEAR CREEK,CM-11,930-939900-00000-00000-0000-0000-000-000-000-000-000-000,710352839
CM,1327,BEDWELL RIVER,CM-10,930-355300-00000-00000-0000-0000-000-000-000-000-000-000,710031740
CM,7990630,BEDWELL SYSTEM,CM-10,930-355300-00000-00000-0000-0000-000-000-000-000-000-000,710031740
CM,1129,BIRD COVE CREEK,CM-4,905-323500-09100-00000-0000-0000-000-000-000-000-000-000,710234575
CM,1474,BISH CREEK,CM-11,930-918300-00000-00000-0000-0000-000-000-000-000-000-000,710354264
CM,806,BLACK LAKE CREEK,CM-4,905-323000-91300-00000-0000-0000-000-000-000-000-000-000,206098365
CM,1187,BONELL CREEK,CM-4,920-427000-00000-00000-0000-0000-000-000-000-000-000-000,710432014
CM,1205,BONSALL CREEK,CM-4,920-298700-00000-00000-0000-0000-000-000-000-000-000-000,710274960
CM,813,BREM RIVER,CM-4,900-357900-00000-00000-0000-0000-000-000-000-000-000-000,206072925
CM,784,BRITTAIN RIVER,CM-4,900-244600-00000-00000-0000-0000-000-000-000-000-000-000,72015167
CM,1390,BRODICK CREEK,CM-10,935-483000-59300-00000-0000-0000-000-000-000-000-000-000,710311375
CM,1438,BUCK CREEK,CM-11,930-805400-31000-00000-0000-0000-000-000-000-000-000-000,710128343
CM,1356,BURMAN RIVER,CM-10,930-507400-00000-00000-0000-0000-000-000-000-000-000-000,710181207
CM,770,BURNET CREEK,CM-4,900-166300-00000-00000-0000-0000-000-000-000-000-000-000,72056756
CM,1199,BUSH CREEK,CM-4,920-327900-00000-00000-0000-0000-000-000-000-000-000-000,710265721
CM,1408,CACHALOT CREEK,CM-10,930-647000-00000-00000-0000-0000-000-000-000-000-000-000,710535218
CM,843,CALL CREEK,CM-6,900-543100-00000-00000-0000-0000-000-000-000-000-000-000,88095552
CM,1127,CAMELEON HARBOUR CREEK,CM-6,905-377500-22800-00000-0000-0000-000-000-000-000-000-000,710231431
CM,677,CAMPBELL RIVER,CM-4,900-000500-00000-00000-0000-0000-000-000-000-000-000-000,701655945
CM,1141,CAMPBELL RIVER,CM-4,920-627900-00000-00000-0000-0000-000-000-000-000-000-000,710149901
CM,1247,CAMPUS CREEK,CM-10,930-071700-28000-00000-0000-0000-000-000-000-000-000-000,710475596
CM,1432,CANOE CREEK,CM-11,930-780600-00000-00000-0000-0000-000-000-000-000-000-000,710140913
CM,1281,CANOE PASS CREEK,CM-10,930-207400-00000-00000-0000-0000-000-000-000-000-000-000,710095030
CM,1370,CANTON CREEK,CM-10,930-539800-00000-00000-0000-0000-000-000-000-000-000-000,710316859
CM,768,CARLSON CREEK,CM-4,900-162600-00000-00000-0000-0000-000-000-000-000-000-000,72054646
CM,1254,CARNATION CREEK,CM-10,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,710096493
CM,1285,CATARACT CREEK,CM-10,930-220100-00000-00000-0000-0000-000-000-000-000-000-000,710091627
CM,1246,CAYCUSE RIVER,CM-10,930-071700-25700-00000-0000-0000-000-000-000-000-000-000,710476732
CM,1450,CAYEGHLE CREEK,CM-11,930-847100-00000-00000-0000-0000-000-000-000-000-000-000,710131115
CM,2302,CAYEGHLE SYSTEM,CM-11,930-847100-00000-00000-0000-0000-000-000-000-000-000-000,710131115
CM,1449,CAYUSE CREEK,CM-11,930-844100-00000-00000-0000-0000-000-000-000-000-000-000,710124819
CM,1342,CECILIA CREEK,CM-10,930-422000-00000-00000-0000-0000-000-000-000-000-000-000,710031332
CM,1422,CHAMISS CREEK,CM-10,930-700400-00000-00000-0000-0000-000-000-000-000-000-000,710530252
CM,760,CHAPMAN CREEK,CM-4,900-120400-00000-00000-0000-0000-000-000-000-000-000-000,72057549
CM,1192,CHASE RIVER,CM-4,920-389300-00000-00000-0000-0000-000-000-000-000-000-000,710436676
CM,756,CHASTER CREEK,CM-4,900-116000-00000-00000-0000-0000-000-000-000-000-000-000,72057848
CM,1241,CHEEWHAT RIVER,CM-10,930-070100-00000-00000-0000-0000-000-000-000-000-000-000,710490529
CM,1175,CHEF CREEK,CM-4,920-507861-09136-00000-0000-0000-000-000-000-000-000-000,710043984
CM,1204,CHEMAINUS RIVER,CM-4,920-303500-00000-00000-0000-0000-000-000-000-000-000-000,710273768
CM,1259,CHINA CREEK,CM-10,930-132300-00000-00000-0000-0000-000-000-000-000-000-000,710080471
CM,1401,CHUM CREEK,CM-10,930-605500-00000-00000-0000-0000-000-000-000-000-000-000,710536108
CM,1425,CLANNINICK CREEK,CM-10,930-713300-00000-00000-0000-0000-000-000-000-000-000-000,710532716
CM,1442,CLEAGH CREEK,CM-11,930-828800-00000-00000-0000-0000-000-000-000-000-000-000,710112563
CM,2470,CLEMENS CREEK,CM-10,930-162500-98800-00000-0000-0000-000-000-000-000-000-000,710081672
CM,1465,CLESKLAGH CREEK,CM-11,930-890400-00000-00000-0000-0000-000-000-000-000-000-000,710342784
CM,1109,CLUXEWE RIVER,CM-5,920-851500-00000-00000-0000-0000-000-000-000-000-000-000,710386042
CM,1456,COETKWAUS CREEK,CM-11,930-870600-00000-00000-0000-0000-000-000-000-000-000-000,710106812
CM,1278,COEUR D'ALENE CREEK,CM-10,930-193200-00000-00000-0000-0000-000-000-000-000-000-000,710088803
CM,1257,COLEMAN CREEK,CM-10,930-124200-00000-00000-0000-0000-000-000-000-000-000-000,710092577
CM,1451,COLONIAL CREEK,CM-11,930-847100-01800-00000-0000-0000-000-000-000-000-000-000,710131192
CM,1323,CONE CREEKS (2),CM-10,935-302000-37600-00000-0000-0000-000-000-000-000-000-000,710225203
